학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
SPGE258 - 00	화성의이해	류경선	3	교양	"월(4) 교양관 606호
수(4) 교양관 606호"	['월', '수']	[[4], [4]]	['교양관 606호', '교양관 606호']
SPGE259 - 00	한국대중음악과매체	KIM JENNA	3	교양	"월(3) 교양관 207호
수(3) 교양관 207호"	['월', '수']	[[3], [3]]	['교양관 207호', '교양관 207호']
SPGE260 - 00	대중음악장르탐색	손윤재	3	교양	"화(3) 교양관 109호
목(3) 교양관 109호"	['화', '목']	[[3], [3]]	['교양관 109호', '교양관 109호']
SPGE261 - 00	클래식음악장르탐구(영강)	김준희	3	교양	"화(2) 교양관 204호
목(2) 교양관 204호"	['화', '목']	[[2], [2]]	['교양관 204호', '교양관 204호']
SPGE262 - 00	클래식작곡가탐구(영강)	김준희	3	교양	"화(3) 교양관 210호
목(3) 교양관 210호"	['화', '목']	[[3], [3]]	['교양관 210호', '교양관 210호']
SPGE263 - 00	영상예술의이해	여금미	3	교양	"월(3) 교양관 210호
수(3) 교양관 210호"	['월', '수']	[[3], [3]]	['교양관 210호', '교양관 210호']
SPGE400 - 00	갈릴레이로부터아인슈타인까지(영강)	이정일	3	교양	"월(6) 
수(6)"	['월', '수']	[[6], [6]]	['', '']
SPGE406 - 00	Korean Constitutional Law & Politics(영강)	"윤정인,김선택
윤정인"	3	교양	"월(5) 교양관 403호
수(5) 교양관 403호"	['월', '수']	[[5], [5]]	['교양관 403호', '교양관 403호']
SPGE407 - 00	AI활용글쓰기	오선경	3	교양	"화(5) 교양관 302호
목(5) 교양관 302호"	['화', '목']	[[5], [5]]	['교양관 302호', '교양관 302호']
SPGE409 - 00	이슬람문화의이해	박현도	3	교양	"월(3) 교양관 311호
수(3) 교양관 311호"	['월', '수']	[[3], [3]]	['교양관 311호', '교양관 311호']
SPGE410 - 00	인공지능과인간	김지연	3	교양	"화(2) 교양관 104호
목(2) 교양관 104호"	['화', '목']	[[2], [2]]	['교양관 104호', '교양관 104호']
SPGE411 - 01	라이프아카데미	조영헌	3	교양	"금(1-4) 
금(1-4) 교양관 410호"	['금', '금']	[[1, 2, 3, 4], [1, 2, 3, 4]]	['', '교양관 410호']
SPGE411 - 02	라이프아카데미	홍용진	3	교양	"금(1-4) 교양관 405호
금(1-4) 교양관 606호"	['금', '금']	[[1, 2, 3, 4], [1, 2, 3, 4]]	['교양관 405호', '교양관 606호']
SPGE412 - 00	물리학에숨겨진지혜의아름다움(영강)	이정일	3	교양	"화(6) 
목(6)"	['화', '목']	[[6], [6]]	['', '']
SPGE413 - 00	동아시아고령사회에대한이해(외국어강의)	HE FANGRONG	3	교양	"화(2) 교양관 210호
목(2) 교양관 210호"	['화', '목']	[[2], [2]]	['교양관 210호', '교양관 210호']
SPGE414 - 00	데이터로보는미중관계이야기		3	교양	"수(1) 교양관 306호
금(1) 교양관 306호"	['수', '금']	[[1], [1]]	['교양관 306호', '교양관 306호']
GEQR042 - 00	우리수학사와현대수학(영강)	김영욱	3	교양	"월(3) 교양관 304호
금(3) 교양관 304호"	['월', '금']	[[3], [3]]	['교양관 304호', '교양관 304호']
GEQR076 - 00	양자컴퓨터와계산	박성빈	3	교양	"화(3) 교양관 202호
목(3) 교양관 202호"	['화', '목']	[[3], [3]]	['교양관 202호', '교양관 202호']
GEQR082 - 00	디지털거버넌스	김시정	3	교양	"월(4) 교양관 111호
수(4) 교양관 111호"	['월', '수']	[[4], [4]]	['교양관 111호', '교양관 111호']
GEQR086 - 00	네트워크과학과사회현상	이상현	3	교양	"화(4) 교양관 202호
목(4) 교양관 202호"	['화', '목']	[[4], [4]]	['교양관 202호', '교양관 202호']
GEQR088 - 00	디지털사유와정치경제	원도연	3	교양	"월(3) 교양관 110호
수(3) 교양관 110호"	['월', '수']	[[3], [3]]	['교양관 110호', '교양관 110호']
GEQR090 - 00	디지털인문학을위한데이터처리와분석	이도길	3	교양	"월(6) 교양관 409호
수(6) 교양관 409호"	['월', '수']	[[6], [6]]	['교양관 409호', '교양관 409호']
GEQR092 - 00	웹툰,한류,그리고미래콘텐츠	이정민	3	교양	목(3-4)	['목']	[[3, 4]]	['']
GEHI051 - 00	라틴아메리카의생성과확장	이재학	3	교양	"화(4) 교양관 311호
목(4) 교양관 311호"	['화', '목']	[[4], [4]]	['교양관 311호', '교양관 311호']
GEHI079 - 00	역사는어떻게서술되는가?	송완범	3	교양	"화(2) 교양관 109호
목(2) 교양관 109호"	['화', '목']	[[2], [2]]	['교양관 109호', '교양관 109호']
GEHI081 - 00	전쟁과인간	민경현	3	교양	금(5-6) 교양관 109호	['금']	[[5, 6]]	['교양관 109호']
GEHI084 - 00	대운하를통해본중국의정치경제사	조영헌	3	교양				
GEHI090 - 00	역사와공공문화	정병욱	3	교양	"화(3) 교양관 104호
목(3) 교양관 104호"	['화', '목']	[[3], [3]]	['교양관 104호', '교양관 104호']
GEHI096 - 00	서양근대건축사산책	김현섭	3	교양	"월(1) 교양관 204호
수(1) 교양관 204호"	['월', '수']	[[1], [1]]	['교양관 204호', '교양관 204호']
GECE013 - 00	철학에로의초대:초월,신,자아,인식	김창래	3	교양	"월(5) 교양관 605호
수(5) 교양관 605호"	['월', '수']	[[5], [5]]	['교양관 605호', '교양관 605호']
GECE058 - 00	ANCIENT CHINESE LAW AND PHILOSOPHY(영강)	김기창	3	교양	"화(4) 교양관 602호
목(4) 교양관 602호"	['화', '목']	[[4], [4]]	['교양관 602호', '교양관 602호']
