학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
GEKS007 - DI	[진로·창업] 1학년세미나 I	전준택	1	교양	미정			
GEKS007 - DJ	[진로·창업] 1학년세미나 I	전준택	1	교양	미정			
GEKS007 - DK	[진로·창업] 1학년세미나 I	김양순	1	교양	미정			
GEKS007 - DL	[진로·창업] 1학년세미나 I	김양순	1	교양	미정			
GEKS007 - DM	[진로·창업] 1학년세미나 I	이희경	1	교양	미정			
GEKS007 - DN	[진로·창업] 1학년세미나 I	이희경	1	교양	미정			
GEKS007 - DO	[진로·창업] 1학년세미나 I	김정석	1	교양	미정			
GEKS007 - DP	[진로·창업] 1학년세미나 I	김정석	1	교양	미정			
GEKS007 - DQ	[진로·창업] 1학년세미나 I	김동욱	1	교양	미정			
GEKS007 - DR	[진로·창업] 1학년세미나 I	김동욱	1	교양	미정			
GEKS007 - DS	[진로·창업] 1학년세미나 I	장성현	1	교양	미정			
GEKS007 - DT	[진로·창업] 1학년세미나 I	장성현	1	교양	미정			
GEKS007 - DU	[진로·창업] 1학년세미나 I	남호성	1	교양	미정			
GEKS007 - DV	[진로·창업] 1학년세미나 I	남호성	1	교양	미정			
GEKS007 - DW	[진로·창업] 1학년세미나 I	조민영	1	교양	미정			
GEKS007 - DX	[진로·창업] 1학년세미나 I	조민영	1	교양	미정			
GEKS007 - DY	[진로·창업] 1학년세미나 I	최자윤	1	교양	미정			
GEKS007 - DZ	[진로·창업] 1학년세미나 I	최자윤	1	교양	미정			
GEKS007 - E1	[진로·창업] 1학년세미나 I	박성철	1	교양	미정			
GEKS007 - E2	[진로·창업] 1학년세미나 I	박성철	1	교양	미정			
GEKS007 - E3	[진로·창업] 1학년세미나 I	김용현	1	교양	미정			
GEKS007 - E4	[진로·창업] 1학년세미나 I	김용현	1	교양	미정			
GEKS007 - E5	[진로·창업] 1학년세미나 I	신지영	1	교양	미정			
GEKS007 - E6	[진로·창업] 1학년세미나 I	신지영	1	교양	미정			
GEKS007 - E7	[진로·창업] 1학년세미나 I	이영훈	1	교양	미정			
GEKS007 - E8	[진로·창업] 1학년세미나 I	조재룡	1	교양	미정			
GEKS007 - E9	[진로·창업] 1학년세미나 I	지영래	1	교양	미정			
GEKS007 - EA	[진로·창업] 1학년세미나 I	손주경	1	교양	미정			
GEKS007 - EB	[진로·창업] 1학년세미나 I	이순희	1	교양	미정			
GEKS007 - EC	[진로·창업] 1학년세미나 I	장동천	1	교양	미정			
GEKS007 - ED	[진로·창업] 1학년세미나 I	장동천	1	교양	미정			
GEKS007 - EE	[진로·창업] 1학년세미나 I	김준연	1	교양	미정			
GEKS007 - EF	[진로·창업] 1학년세미나 I	김준연	1	교양	미정			
GEKS007 - EG	[진로·창업] 1학년세미나 I	조동매	1	교양	미정			
GEKS007 - EH	[진로·창업] 1학년세미나 I	조동매	1	교양	미정			
GEKS007 - EI	[진로·창업] 1학년세미나 I	고점복	1	교양	미정			
GEKS007 - EJ	[진로·창업] 1학년세미나 I	고점복	1	교양	미정			
GEKS007 - EK	[진로·창업] 1학년세미나 I	오유정	1	교양	미정			
GEKS007 - EL	[진로·창업] 1학년세미나 I	오유정	1	교양	미정			
GEKS007 - EM	[진로·창업] 1학년세미나 I	류호현	1	교양	미정			
GEKS007 - EN	[진로·창업] 1학년세미나 I	류호현	1	교양	미정			
GEKS007 - EO	[진로·창업] 1학년세미나 I	이명현	1	교양	미정			
GEKS007 - EP	[진로·창업] 1학년세미나 I	이명현	1	교양	미정			
GEKS007 - EQ	[진로·창업] 1학년세미나 I	이명현	1	교양	미정			
GEKS007 - ER	[진로·창업] 1학년세미나 I	김진규	1	교양	미정			
GEKS007 - ES	[진로·창업] 1학년세미나 I	김진규	1	교양	미정			
GEKS007 - ET	[진로·창업] 1학년세미나 I	김진규	1	교양	미정			
GEKS007 - EU	[진로·창업] 1학년세미나 I	정병호	1	교양	미정			
GEKS007 - EV	[진로·창업] 1학년세미나 I	서승원	1	교양	미정			
GEKS007 - EW	[진로·창업] 1학년세미나 I	조영남	1	교양	미정			
GEKS007 - EX	[진로·창업] 1학년세미나 I	채성식	1	교양	미정			
GEKS007 - EY	[진로·창업] 1학년세미나 I	김정민	1	교양	미정			
GEKS007 - EZ	[진로·창업] 1학년세미나 I	배지완	1	교양	미정			
GEKS007 - F1	[진로·창업] 1학년세미나 I	배지완	1	교양	미정			
GEKS007 - F2	[진로·창업] 1학년세미나 I	송상기	1	교양	미정			
GEKS007 - F3	[진로·창업] 1학년세미나 I	송상기	1	교양	미정			
GEKS007 - F4	[진로·창업] 1학년세미나 I	이재학	1	교양	미정			
GEKS007 - F5	[진로·창업] 1학년세미나 I	이재학	1	교양	미정			
GEKS007 - F6	[진로·창업] 1학년세미나 I	정혜윤	1	교양	미정			
GEKS007 - F7	[진로·창업] 1학년세미나 I	정혜윤	1	교양	미정			
GEKS007 - F8	[진로·창업] 1학년세미나 I	김성도	1	교양	미정			
GEKS007 - F9	[진로·창업] 1학년세미나 I	유석훈	1	교양	미정			
GEKS007 - FA	[진로·창업] 1학년세미나 I	송상헌	1	교양	미정			
GEKS007 - FB	[진로·창업] 1학년세미나 I	정유진	1	교양	미정			
GEKS007 - FC	[진로·창업] 1학년세미나 I	강성만	1	교양	미정			
GEKS007 - FD	[진로·창업] 1학년세미나 I	박세호	1	교양	미정			
